name	shape	dtype	params	mean	std	min	max
base_model.model.model.layers.3.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000011	0.019425	-0.036205	+0.035755
base_model.model.model.layers.3.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000002	0.001217	-0.003979	+0.003682
base_model.model.model.layers.3.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000016	0.019331	-0.036545	+0.036034
base_model.model.model.layers.3.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000008	0.001210	-0.003824	+0.004524
base_model.model.model.layers.3.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000144	0.019357	-0.036889	+0.036960
base_model.model.model.layers.3.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000015	0.001153	-0.003257	+0.003513
base_model.model.model.layers.4.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000024	0.008336	-0.017479	+0.017216
base_model.model.model.layers.4.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000002	0.001249	-0.003892	+0.003848
base_model.model.model.layers.4.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000129	0.019346	-0.035560	+0.036036
base_model.model.model.layers.4.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000006	0.001279	-0.003907	+0.004036
base_model.model.model.layers.4.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000061	0.019335	-0.035529	+0.035465
base_model.model.model.layers.4.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000000	0.001260	-0.004404	+0.005077
base_model.model.model.layers.4.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000045	0.019349	-0.036263	+0.035156
base_model.model.model.layers.4.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000002	0.001178	-0.003518	+0.003693
base_model.model.model.layers.4.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000145	0.019381	-0.035959	+0.035917
base_model.model.model.layers.4.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000013	0.001267	-0.004210	+0.003771
base_model.model.model.layers.4.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000239	0.019357	-0.035805	+0.035706
base_model.model.model.layers.4.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000005	0.001240	-0.003763	+0.003659
base_model.model.model.layers.4.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000093	0.019304	-0.036311	+0.036075
base_model.model.model.layers.4.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000019	0.001165	-0.003473	+0.003116
base_model.model.model.layers.5.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000012	0.008393	-0.017297	+0.017585
base_model.model.model.layers.5.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000009	0.001335	-0.004079	+0.003956
base_model.model.model.layers.5.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000268	0.019324	-0.035576	+0.036568
base_model.model.model.layers.5.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000001	0.001340	-0.005148	+0.005111
base_model.model.model.layers.5.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000313	0.019387	-0.036225	+0.035902
base_model.model.model.layers.5.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000003	0.001299	-0.003977	+0.004178
base_model.model.model.layers.5.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000174	0.019398	-0.036826	+0.036942
base_model.model.model.layers.5.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000026	0.001128	-0.003656	+0.003430
base_model.model.model.layers.5.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000156	0.019267	-0.035883	+0.035836
base_model.model.model.layers.5.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000013	0.001269	-0.004292	+0.003905
base_model.model.model.layers.5.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000267	0.019298	-0.036134	+0.035975
base_model.model.model.layers.5.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000004	0.001181	-0.003636	+0.004069
base_model.model.model.layers.5.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000335	0.019295	-0.036403	+0.035209
base_model.model.model.layers.5.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000014	0.001100	-0.003070	+0.003135
base_model.model.model.layers.6.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000005	0.008401	-0.017229	+0.017540
base_model.model.model.layers.6.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000004	0.001307	-0.003976	+0.003730
